id,collection,dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description.abstract[en_US],dc.description.localcode,dc.description.localcode[en_US],dc.description.sponsorship[en_US],dc.description[en_US],dc.identifier.uri,dc.language.iso[en_US],dc.publisher,dc.publisher[],dc.publisher[en_US],dc.rights.uri[*],dc.rights[*],dc.source.pagenumber[en_US],dc.subject.nsi[en_US],dc.subject[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US]
"5125170c-b945-485d-a1a7-f1c3df6c02cb","11250/2473201",,"Birkeli, Ingrid","2022","Denne masteroppgaven har som formål å gi innsikt i hvordan fem elever i åttende trinn opplever å arbeide med matematikk gjennom et tverrfaglig prosessdrama med rollekategorier. Gjennom individuelle, semistrukturerte intervju av fem åttendeklasseelever ved en skole i Norge, har jeg forsøkt å belyse oppgavens problemstilling. Funnene kan inspirere lærere til å ta i bruk flere praktisk-estetiske og dramafaglige læringsformer i sin undervisning, samt bidra til bevisstgjøring rundt hvilke utfordringer som er tilknyttet slike arbeidsmetoder. Alle elevene har deltatt i samme undervisningsopplegg med prosessdrama og rollekategorier i løpet av en skoledag. Datagrunnlaget består hovedsakelig av elevenes uttalelser under intervjuene, og suppleres med feltnotater fra observasjon av prosessdramaet. Elevenes utsagn er fortrinnsvis analysert i lys av teoretiske begreper knyttet til Realistic Mathematics Education (RME), en undervisningstilnærming som på flere måter sammenfaller med dramafaglig undervisning.
Resultatene viser at elevene i stor grad har en positiv opplevelse med å arbeide med matematikk gjennom tverrfaglig prosessdrama med rollekategorier; de blir motiverte og synes det er morsomt. De engasjerer seg og lever seg inn i undervisningen når de selv får være aktører og faginnholdet settes inn i en virkelighetsnær kontekst. Det at elevenes interesser ivaretas og brukes som et element i undervisningen er noe som bidrar positivt til deres engasjement. Konkurranseelementet i opplegget engasjerer elevene, men skaper samtidig utfordringer for konsentrasjon. Elevsvarene viser at prosessdrama som arbeidsform i matematikk gir gode muligheter for blant annet induktiv læring og dybdelæring. Samtidig belyses en rekke utfordringer knyttet til tverrfaglighet, innlevelse og strukturelle rammer, som kan ha innvirkning på elevenes læringsutbytte. Elevene fremhever også muligheter og utfordringer ved bruk av rollekategorier i undervisningen. Utfordringene er særlig knyttet til dårlig tidligere erfaring, ukjente sosiomatematiske normer og strukturelle rammer. Det antas likevel at rollekategoriene kan bidra til deltakelse, undersøkende samtaler og godt samarbeid dersom de brukes aktivt.",,"MGUMA550",,"Master i matematikkdidaktikk
Grunnskolelærerutdanningen 5-10 Fakultet for lærerutdanning, kultur og idrett","https://hdl.handle.net/11250/3019098","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Creative Drama in Mathematics: A study of five 8th grade students’experiences with doing mathematics through creative drama methods","Drama i matematikk: En studie av fem åttendeklasseelevers opplevelse av å arbeide med matematikk gjennom dramafaglige arbeidsmetoder","Master thesis"
"472de70f-9870-41d3-b67d-936f60638194","11250/152233",,"Bårdsen, Geir Atle Lye","2022","Temaet for denne masteroppgaver er medborgerskapsoppæring. Problemstillingen jeg har utarbeidet er som følger: Hvordan kommer medborgerskapsopplæringen frem i ulike styringsdokumenter i Norge og Tyrkia? Jeg har i tillegg til dette utarbeidet to forskningsspørsmål, som hjelper med å belyse oppgavens problemstilling. Disse har jeg formulert på denne måten (1) Hvilke idealtyper ved medborgerskapsopplæring vektlegges i styringsdokumentene til Norge og Tyrkia? (2) På hvilke måte legges det gjennom styringsdokumentene til rette for opplæring i medborgerskap i Norge og Tyrkia?
For å kunne besvare disse spørsmålene har jeg utarbeidet en tabell som tar utgangspunkt i medborgerskapsidealene som Sætre og Stray utarbeidet i sin forskning om emnet. Tabellene viser hvilke idealer kompetansemålene i de ulike landene som blir prioritert. Analysen om ulikheter har også et historisk perspektiv hvor jeg undersøker hvordan medborgerskapsopplæringen i landene har endret seg gjennom tidene.
Etter analysen ble gjennomført kom det frem flere interessante sider ved denne sammenligningsstudien. Analysen av kompetansemålene viser til store ulikheter mellom landenes vektlegging av hva en medborger er. Det kommer frem at kompetansemålene i Norge er færre, men også mer åpne enn de som blir fremstilt i tyrkisk kontekst. I tillegg viser forskningen at norsk skole har størst fokus på å lære elevene til å bli rasjonelle autonome medborgere. Dette er i motsetning til det som kommer frem i analysen av den tyrkiske læreplanen, der hovedfokuset er at elevene skal få kunnskap om samfunnet. I Tyrkia er det et større antall kompetansemål elevene skal arbeide med, noe som fører til at de er mer konkrete enn de norske. Nasjonalisme og patriotisme er også noe som kommer frem i større grad i den Tyrkiske planen.",,"MGUSA550",,"Master Grunnskolelærer 5-10. Fakultet for lærerutdanning, kultur og idrett (FLKI) Institutt for pedagogikk, samfunnsfag og religion/GLU 5-10","https://hdl.handle.net/11250/3019108","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Citizenshipeducation through governing documents","Medborgerskapsopplæring gjennom styringsdokumenter","Master thesis"
"09257bf2-44d2-4635-8f13-a9e721f7f2f5","11250/2473201",,"Owusu, Axel Morken","2022",,,"MGUEN550",,"MGUEN550 - Master's in Education with English Didactics
Department of Language","https://hdl.handle.net/11250/3019157","eng",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Investigating Dyslexia-friendly EFL teaching - A qualitative study of Norwegian EFL teachers' perceptions and practice in a dyslexia-friendly school","Master thesis"
"62f3e59b-6dfa-4a83-ae28-e260672d70a8","11250/2473201",,"Hetland, Siri Guttorm","2022","The aim of this thesis has been to examine the extent to which EFL textbooks succeed in meeting the guidelines set by LK20 about Indigenous peoples in the English subject after year 10. The thesis basis derives from theoretical approaches to culture, representation, both visual and textual, as well as representation of Indigenous peoples and Piaget’s theory of cognitive development and how it relates to representation. The thesis also draws upon the basis of what a textbook in education is and what it implies, as well as what the curriculum has set as guidelines on Indigenous content. To analyse how authors and publishers have chosen to include Indigenous peoples in their EFL textbooks I chose mixed methods, incorporating both quantitative and qualitative methods. The methods chosen were content analysis and multimodal critical discourse analysis. Content analysis allows the researcher to analyse the contents of texts, both quantitative and qualitative. While a multimodal critical discourse analysis allows the researcher to study both visuals and text in ways language, with signs and symbols, are taken advantage of by authors in order to represent. The findings implies that some textbook does a better job than others when it comes to meeting the guidelines set by the LK20 curriculum. And even though all the textbooks include Indigenous peoples they do not always give a complete and in-depth representation on who Indigenous peoples are and what their culture, history, and societal life entails. An important finding was that the Norwegian Indigenous people are hardly mentioned in some textbooks, and not present at all in others, despite them being explicitly present in competence aims in LK20. That is why it is important for teachers to be critical of the textbooks used in education and that they do not necessarily mirror the guidelines set by LK20. And for teachers to add materials in addition to the textbook when necessary, in order to follow the guidelines set by the curriculum.",,"MGUEN550",,"MGUEN 550 Department of Language, Literature, Mathematics, and Interpreting","https://hdl.handle.net/11250/3019149","eng",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Representation of Indigenous Peoples in textbooks for year 8-10","Master thesis"
"d76be437-68e2-48b9-bfc3-a37c615c4a8a","11250/2473201",,"Gudmundsdottir, Tinna Maria","2022","I Norge blir vi meir og meir fleirspråkleg, som gjenspeilar elev mangfaldet på skulebenken. Det fleirspråkleg aspekteret er påverka av tilflyttarar til Norge, med andre språks bakgrunnar, men også samfunnet sin teknologiske endring, kor elevane har tilgang til heile verden på nokon taste trykk. Med den teknologiske endringa, har det med ført fenomenet som kallast gaming. Fleirtal av barn og unge i dag gamer i sin fritid. Det kan hjelpa oss vaksne på skulen når vi skal laga varierte og relevante matematikk oppgåver for elevane. I 2020 kom det ein fornya læreplan, som skulle være i trå med det samfunnet vi lever i nå, og det elevane skal ut i arbeidslivet i. I den nye læreplanen var det noko som heite kjerneelementa i matematikk, nokon av kjerneelementa inneheld det å bruke språk i matematikk. Av den grunn vil denne oppgåva svara på problemstillinga Korleis bruker fleirspråklege elevar på sjuande trinn matematisk språk i arbeid med læringsverktøyet Minecraft: edu? For å svare på denne problemstillinga, har det blitt utforma to forskingsspørsmål. Første forskingsspørsmålet i denne oppgåve er: Korleis bruker fleirspråklege elevar kommunikasjon, ved bruk av Minecraft: edu som læringsverktøy? Det andre forskingsspørsmålet er: Kva for nokon matematiske argument bruker fleirspråklege elevar med Minecraft: edu som læringsverktøy? 
For å undersøke denne problemstillinga blei det brukt Toulmin sin argumentasjonsmodell, til å analysera argumentasjonane elevane kjem med. Det blei også tatt i bruk Bishop sine seks aktivitets formar som rammeverk, til å sjå på det matematiske aspekteret i samtalane hos elevane. Det blei også funnet fram ulike litteraturar knyta opp i mot fleirspråklegheit og fleirspråklege elevar i matematikk, matematisk språk og argumentasjon, det blei også funnet litteratur som omtala det å bruke Minecraft og gaming i klasseroms undervisning. Forskinga er i samarbeid med LATACME prosjektet ved Høgskulen på Vestlandet. Denne oppgåva sitt datamateriale er videoopptak av to elevgrupper. Tilgangen til videoopptaka var gitt via LATACME prosjektet. Denne kvalitative forskingsmetoden gjer meg til fullstendig observatør. Elevane i videoopptaka arbeida med Minecraft: edu som læringsverktøy. Elevane brukte matematiske språk til å kommunisera idear, framgangsmetodar og i bygge konstruksjonar. Elevane brukte også matematisk språk til å argumentera med seg sjølv og medelevar. Elevane argumenterte i forbindelse med utrekning av reknestykke, bygging av figurar og når elevane skulle fylla inn og finne volum til TNT sprengt område. Dei forskjellige volum oppgåvene knyta til Minecraft: edu, har ført til variasjon i korleis argumentasjonane og kommunikasjonane blei konstruert og samansett av elevane under observasjonen.",,"MGUMA550",,"Master i Matematikk i Grunnskulelærarutdanning 5-10. Fakultet for lærarutdanning, kultur og idrett.","https://hdl.handle.net/11250/3019105","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Multilingual students and mathematical language in Minecraft: edu.","Fleirspråklege elevar og matematisk språk i Minecraft: edu.","Master thesis"
"e32be9d4-84dc-40c0-9287-bfad4a4ee337","11250/152233",,"Waage, Sverre","2022","I denne masteroppgaven har jeg analysert fremstillingen av vold og demokrati med utgangspunkt i den amerikanske og franske revolusjonen i faget samfunnsfag i den norske grunnskolen på 8.trinn.
Med et utgangspunkt i teori om demokrati og vold har jeg ved hjelp av læreverkene gjort en beskrivende analyse av hver bok og deretter diskutert disse opp mot hverandre. Bøkene er diskutert med demokratiforståelsesbegrepene til Willy Martinussen, Linda Colley sin teori på krigenes rolle i utviklingen av demokratiet og læreverkenes rolle i hva elevene er ment å lære.
Et av mine funn er at deler av de respektive bøkenes fremstilling er nokså lik, men at det likevel finnes ulikheter. Disse ulikhetene viser seg blant annet i beskrivelsene av demokrati og vold, samt i omfanget av emnet. Bøkene som er bundet av læreverkene R97 og LK06 er større historiebøker og inneholder flere beskrivelser av vold, kriger og revolusjoner enn bøkene som stammer fra LK20. Bøkene fra LK20 legger større vekt på beskrivelser av demokratiet, og de tankene og ideene vi i dag forbinder med demokratiet. Samspillet mellom demokrati på den ene siden og krig, vold og samfunnsmessige uroligheter på den andre siden er imidlertid en viktig del av utviklingen av demokratiet. Likevel blir dette ikke lagt nevneverdig vekt på i lærebøkene fra R97 og LK06. Her har jeg funnet mer implisitte forbindelser mellom begrepene. Etter å ha foretatt en helhetlig vurdering av lærebøkene vil jeg si at denne forbindelsen ikke kommer godt nok frem og at den ikke gir et helhetlig bilde av utviklingen av demokratiet.",,"MGUSA550",,"Fakultet for lærerutdanning, kultur og idrett","https://hdl.handle.net/11250/3019146","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"The presentation of the relationship between democracy and violence in social studies books in the middle school","Fremstillingen av forholdet mellom demokrati og vold i samfunnsfagsbøker på ungdomsskolen","Master thesis"
"c27b3e9e-5071-4e58-9b40-0a0616b5af8f","11250/152233",,"Horpen, Hilde","2022","Mange små skular har blitt lagt ned dei siste åra. Mange lokalsamfunn har allereie mista, eller står i fare for å miste, den lokale skulen. Dette kan ha konsekvensar for lokalsamfunnet, særleg lokalsamfunn i distrikta. Debattar om skulenedlegging skapar ofte mykje debatt og kjensler, noko som kan vere eit teikn på at skulen er viktig for lokalsamfunna og menneska som bur der. Føremålet med denne studien har vore å sjå på kva tyding skulen har for lokalsamfunn i distriktet. Eg har sett på kva skulenedlegging kan ha å seie for eit lokalsamfunn og i kva grad eit lokalsamfunn kan bli råka ved ei skulenedlegging. Eg har også sett på kva som kan skje med eit lokalsamfunn der ein står i fare for å miste den lokale skulen. Gjennom å snakke med eit utval av innbyggjarar i to lokalsamfunn, det eine der skulen er lagt ned, det andre der skulen risikerer å bli lagt ned, har eg fått innsikt i kva skulen tyder for lokalsamfunna i distriktet. Problemstillinga har vore: Kva tyder lokalsamfunnet for folk, og kva oppfatningar har dei av skulen si rolle i lokalsamfunnet? Gjennom intervjua danna eg meg tre tema som vert overordna i denne oppgåva: 1. lokalsamfunn, 2. skulen si rolle for lokalsamfunnet, 3. attraktivitet.
Skulen si hovudoppgåve er naturlegvis opplæringa i tråd med opplæringslov, læreplanar og skulen sitt mandat. Fokuset i denne oppgåva er kva skulen si tyding er for lokalsamfunna. Eg har fokusert på lokalsamfunn i distrikta, der skulen gjerne fungerer som forsamlingshus og møteplass, med alle aktivitetar og arrangement som føregår i ei bygd. Resultata i oppgåva viser at omgrepet lokalsamfunn er samansett og komplekst. Informantane hadde ulike oppfatningar og ulike tolkingar av kva omgrepet tyder. Oppfatninga etter intervjua er at skulen spelar ei viktig rolle i lokalsamfunnet, og at skulen er viktig for lokalsamfunnet. Resultata syner at skulen er viktig for attraktiviteten til lokalsamfunnet og bygda, men informantane har ulike syn på i kva grad skulen påverkar attraktiviteten, særleg med tanke på skulen sin storleik. Samanhengen mellom skulen sin storleik og kvaliteten i opplæringa er noko eg ser nærmare på i denne oppgåva.",,"MGUSA550",,"Master i samfunnsfagdidaktikk,
Fakultet for lærarutdanning, kultur og idrett,
Institutt for pedagogikk, religion og samfunnsfag","https://hdl.handle.net/11250/3019097","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Grunnskulen si tyding for lokalsamfunna","Master thesis"
"525c8d6c-5b75-48c6-9005-6b11250bcfec","11250/2473201",,"Gjersdal, Bjørn Inge","2022","This master thesis measures the use of reading comprehension strategies in L2 reading by Norwegian 7th grade pupils. The thesis investigates whether and to what extent the 7th grade pupils make use of reading strategies. It also investigates if there are gender differences in the pupils reported use of reading strategies and whether there is a relationship between self-rated reading ability and reported strategy use. 
Research has shown that pupils who use reading strategies perform better on experimental reading tasks (Bråten, I. & Anmarkrud, Ø. 2013) For the pupils to become really good readers, reading comprehension strategies, background knowledge and reading motivation are crucial (Anmarkrud, Ø. & Refsahl, V. 2019). This thesis shows that the pupils are aware of and use reading strategies, but to a different extent depending on the strategy. 
The theoretical background includes theories and research on reading strategies and reading. This is knowledge that is beneficial for teachers and teacher students to know about, especially if they are going to help to develop reading skills among the pupils. 
The data was collected by using the survey of reading strategies (SORS), which is a questionnaire designed to be used among L2 learners of English. The data was collected in two 7th grades from two different schools and the data was analysed using the SPSS. 
The findings show that the pupils make use of reading comprehension strategies during reading in L2, but the strategies are used to a different extent. There were several strategies that the pupils reported to be using with a high frequency. The results also showed overall no significant difference between the genders, with a few exceptions where the girls reported higher mean scores. There was also overall no significant difference between the self-rated reading ability and the reported strategy use, with a few exceptions, where the high ability reading group had the highest mean scores.",,"MGUEN550",,"Master’s in Education with English Didactics Department of Language, Literature, Mathematics and Interpreting","https://hdl.handle.net/11250/3019154","eng",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Measuring the use of reading comprehension strategies in L2 reading by Norwegian 7th grade pupils.","Master thesis"
"ba2280c5-8ab1-48d4-89db-f53400f222cc","11250/2473201",,"Brix, Christopher Lemicka","2022","Denne avhandlinga er eit empirisk orientert forskingsprosjekt med kvalitativt forskingsdesign, der bruken av digitale spel i norskfaget står sentralt. Problemstillingane som studiet undersøkjer er: Kva for norskspråklege moglegheiter finn ein i Minecraft: Education Edition for mellomtrinnselevar? Og på kva måte tek dei didaktiske opplegga vare på elevane sine moglegheiter til å spele spelet, samt bidra til å nå kompetansemål i norskfaget?
Hensikta med studien er å kunne setje lys på dei moglegheitene for norskfagleg undervisning som ein kan finne i det digitale spelet Minecraft: Education Edition. Studien etterlyser ein djupare forståing av spel som didaktiske reiskap, der studien kan vere med på å kartleggje korleis ein kan trekkje relevansen kring digitale spel og norskfagleg kompetanseutvikling knytt mellomtrinns elevar.
Bruk av digitale spel i skulen har gjennom tidene vert etterfylgt av kontroversar. Studien trekk fram korleis synet på spelbasert læring har endra seg med tidene, og prøver å trekkje fram sentrale funksjonar dei kan ha i forsøket på å danne elevane på mellomtrinnet.
Analyse og drøfting viser korleis Minecraft: Education Edition kan bli nytta i didaktiske undervisningsopplegg, der det blir gjort greie for kva som gjer bruken relevant for norskundervisning. Studien viser at det er klare områder der ein kan sjå den norskfaglege relevansen, men at det ikkje nødvendigvis tyder at ein kan ta vare på dei elementa som gjer spelet til det spelet som det er.",,"MGUNO550",,"Fakultetet for lærarutdanning, kultur og idrett/institutt for språk, litteratur, matematikk og tolking/undervisningsvitskap","https://hdl.handle.net/11250/3020787","nno",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Possibilities for Norwegian teaching in Minecraft: Education Edition","Norskspråklege moglegheiter i Minecraft: Education Edition","Master thesis"
"78555b76-1ce0-4372-9c9f-8a3d00b21fb6","11250/2473201",,"Eike, Sander","2022","Gjennom tidlegare erfaringar som matematikklærar, har eg sett at det finnes moglegheiter for å knyte matematikkfaget inn i tverrfagleg undervising gjennom problembasert undervising. I tillegg til fokus på både tverrfaglege tema og problemløysing som kjerneelement i LK20 (Kunnskapsdepartementet, 2019; Kunnskapsdepartementet 2017), vart hensikta med dette studiet lagt til kva faktorar som kan vere avgjerande for lærarar sin tilrettelegging av tverrfagleg undervising gjennom problembasert matematikkundervising.
For å finne svar på problemstillinga: Kva moglegheiter og utfordringar ser to matematikklærarar med matematisk problemløysing i tverrfagleg undervising?, vart det utforma tre forskingsspørsmål:
- Kva forståing har matematikklærarane av omgrepa ""matematisk problemløysing"" og ""tverrfagleg undervising"" i skulen?
- Kva moglegheiter og utfordringar møter matematikklæraren ved å legge til rette for matematisk problemløysing og tverrfagleg undervising i skulen?
- Kva positive og negative verknadar gir ein kombinasjon av matematisk problemløysing og tverrfagleg undervising for elevane?
Det vart, gjennom eit kvalitativt forskingsintervju av to matematikklærarar, samla inn deira erfaringar og meiningar knytt til to forskingsfelt; matematisk problemløysing og tverrfagleg undervising. Forskingsdeltakarane er opptekne av å legge til rette for problemløysande matematikkundervising, og tverrfagleg undervising. Datamaterialet utgjer to transkriberte intervju
Deltakarane identifiserer det å sikre fagleg utbyte for elevane, og tilpasse den utforskande undervisinga for elevmangfaldet, som utfordringar ved å kombinere matematisk problemløysing i tverrfagleg undervising. Faktorar som påverkar desse utfordringane er lærarsamarbeid, tidsmangel for lærarar, lite fokus på endringsarbeid, å motivere alle elevane, og utfordrande for lærarane å la elevane å undersøkje. Moglegheitene ved å kombinere arbeidsformene er eit auka fokus på eleven som aktiv deltakar i eigen læringsprosess og eit mål om heilskapleg forståing. Faktorar som påverkar moglegheitene er at undervisingsformene bygger på same læringssyn, dei gir moglegheiter for djupnelæring og matematikkfaget får vist heilskapen det bygger på.",,"MGUMA550",,"Master i undervisingsvitskap med fordjuping i matematikk, Fakultet for lærarutdanning, kultur og idrett (FLKI)","https://hdl.handle.net/11250/3020606","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Problem-based mathematics teaching as a key to mathematical interdisciplinary teaching","Problembasert matematikkundervising som nøkkel til matematisk tverrfagleg undervising","Master thesis"
"e79565ca-6510-4381-a771-8de3487465b0","11250/2473201",,"Volden, Kristine","2022","Malet med denne masteroppgaven er a belyse hvilken digital kompetanse matematikklarere har, og hvilken betydning kompetansen har for hvordan larere bruker digitale lareverk i matematikkundervisningen. For a undersoke dette har jeg brukt teori om behovet for kompetanseutvikling ved hjelp av TPACK-modellen og larerens profesjonsfaglige digitale kompetanse (PfDK). I tillegg til dette har jeg inkludert teori om metodiske variasjonsmuligheter ved hjelp av SAMR-modellen, samt laring i et sosiokulturelt perspektiv.
Forskningsspørsmål: ≪Hvilken digital kompetanse har matematikklærere og hvilken betydning har denne for deres bruk av digitale læreverk i matematikkundervisningen?≫
Denne studien er basert pa datamateriale fra en kvalitativ tilnarming til forskningssporsmalet, gjennom en casestudie med to matematikklarere fra grunnskolen. Jeg har benyttet meg av kvalitative semi-strukturerte intervju av to larere og klasseromsobservasjon av den ene. Malet var a fa frem hvilken opplaring larerne hadde i digitale lareverk, og hvordan de bruker dem. Denne studien viser at larerinformantene mine ikke innehar profesjonsfaglig digital kompetanse, og at dette pavirker de metodiske variasjonsmulighetene i matematikkundervisningen. Studien lofter ogsa frem at larerne onsker opplaring i hvordan de pa best mulig mate kan benytte seg av de digitale lareverkene i matematikkundervisningen, som igjen belyser dermed viktigheten av at skoleledelsen legger til rette for kompetanseheving. Funn i denne studien kan dermed danne grunnlag for narmere og bredere undersokelser i skolen.
Stikkord: TPACK, PfDK, SAMR, designkompetanse, blandingskultur, hybride praksiser,
digital kompetanse, grunnskolen, larere, matematikkundervisning, digitale ressurser.",,"MGUMA550",,"Master i undervisningsvitenskap med fordypning i matematikk, 
Fakultet for lærerutdanning, kultur og idrett (FLKI)","https://hdl.handle.net/11250/3020599","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,,"Betydningen av læreres digitale kompetanse i bruk av digitale læreverk i matematikkundervisningen","Master thesis"
"006bcee9-2e7d-4268-921c-494ed7c5f2f9","11250/2473201",,"Bådsvik, Rikke Halleland","2022","Formålet med denne oppgaven har vært å undersøke hvilke muligheter og utfordringer norsklærere ser når det kommer til undervisning i muntlighet, med et håp om å belyse muntlighet som en stor del av norskfaget. Oppgaven tar utgangspunkt i norsklæreres meninger, erfaringer, synspunkter, tanker og forståelser når det kommer til muligheter og utfordringer med muntligopplæringen. Problemstillingen jeg besvarer i oppgaven er følgende: «Hvilke muligheter og utfordringer ser norsklærere når det gjelde undervisning i muntlighet på tiende trinn og på VG1?». For å kunne besvare problemstillingen ble to forskningsspørsmål formulert: «Hva vektlegger de to norsklærerne i sin undervisning i muntlighet?» og «Hvordan veiledes elever etter muntlig presentasjon i norskfaget?». Gjennom kvalitative semi-strukturerte intervjuer med to norsklærere, har jeg tilegnet meg kunnskap for å kunne besvare problemstillingen og forskningsspørsmålene.
Resultatene viser at lærerne har flere muligheter og utfordringer når det kommer til undervisning og opplæring i muntlighet i norskfaget. De viser også at lærerne i all hovedsak underviser i muntlighet i forbindelse med vurderinger, men at de etterhvert i samtalen oppdager at de gjerne har undervist mer i muntlighet enn de selv trodde. Det vil si at lærerne ikke har drevet med systematisk opplæring innen muntlighet i norskfaget. Resultatene viser også at elever får lite veiledning i etterkant av muntlige aktiviteter, men at det er et fokus på å øke mengden metasamtaler i forbindelse med muntligopplæringen. Mine funn samsvarer med tidligere forskning som er presentert i denne oppgaven, bortsett fra at muntlige framføringer er den mest brukte muntlige sjangeren. Ifølge mitt datamateriale er det faglige samtaler som er den dominerende muntlige sjangeren i norskfaget.",,"MGUNO550",,"Fakultet for lærerutdanning, kultur og idrett/Institutt for språk, litteratur,
matematikk og tolkning/Undervisningsvitenskap","https://hdl.handle.net/11250/3020726","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal",,,,"Possibilities and challenges with oral training in Norwegian as a school subject","Muligheter og utfordringer med muntligopplæringen i norskfaget","Master thesis"
"b0c287e3-ed48-4c31-bb69-fb528c851d8d","11250/285933",,"Chalova, Karina","2022","Med innføringen av Fagfornyelsen har bærekraftig utvikling blitt til et av de tverrfaglige tema på skolen som forutsetter en grundigere opplæring i dette temaet og praktisering av samarbeid på tvers av fag. Denne masteroppgaven har til hensikt å utforske hvordan man kan skape meningsfulle møter mellom kunst og håndverk og andre fag med en høy grad av integrasjon, som kan bidra til elevenes læring innenfor bærekraftig utvikling. Den kvalitative metoden og aksjonsforsking er valgt for å gjennomføre en praksisnær forskning hvor elevene på 6. trinn og deres kontaktlærer har vært deltakende. Forskarlogg, feltnotat frå observasjon, spørreskjema og intervju av forskingsdeltakere hadde dannet grunnlag for emperien som videre ble analysert og fortolket med utgangspunktet i temanisk analyse og hermeneutisk tilnærming. Resultatene viser at undervisningsforløpet med utgangspunktet i ideen om en bedrift med en alternativ tilnærming til klesproduksjon, kan skaffe et meningsfullt møtepunkt for flere fag og hjelpe å oppnå den høgeste graden av tverrfaglighet. Fiktive rammer virket motiverende for elevenes undersøking av temaet, mens rollene som både produsenter og konsumenter bidro til praktisering av kritisk tenkning og systemforståelse. Andre funn peker på at undervisningsforløpet må ta høve til elevenes kompetansenivå i kunst og håndverksfaget og legge til rette for refleksjon over både prosess og resultat. Jeg håper at metodekonseptet som ble utviklet i løpet av masterstudien, kan virke inspirerende for lærere som ønsker å legge til rette for tverrfaglige undervisningsprosjekter innenfor bærekraftig utvikling.",,"MGBKH550",,"Masterfag i GLU 1-7, MGBKH550 Fakultet for lærerutdanning, kultur og idrett
Campus Bergen","https://hdl.handle.net/11250/3020945","nob",,,"Høgskulen på Vestlandet","http://creativecommons.org/licenses/by/4.0/deed.no","Navngivelse 4.0 Internasjonal","104",,,"""Slow Fashion"" - an action research project at the intermediate school stage with a focus on the interdisciplinary theme of sustainable development","""Slow Fashion"" - et aksjonforskningsprosjekt på mellomtrinnet med fokus på det tverrfaglige temaet bærekraftig utvikling","Master thesis"
